platform,followers,following,posts,account_age_days,bio_length,profile_pic,verified,external_links,activity_rate,is_fake
instagram,25318,592,1113,408,65,1,0,1,9.22,0
linkedin,13734,623,4339,1026,104,1,0,1,2.28,0
linkedin,49876,581,4258,319,76,1,0,0,5.31,0
twitter,47862,1746,951,869,149,1,0,3,3.56,0
instagram,1842,1686,2426,964,38,1,0,0,3.81,0
linkedin,443,435,49,14,10,0,0,0,1.51,1
twitter,327,4050,40,37,13,1,0,0,0.55,1
instagram,88,1265,24,18,39,1,0,4,1.29,1
facebook,142,1192,24,17,0,0,0,0,0.54,1
facebook,93238,440,1252,733,93,1,0,0,7.54,0
instagram,37,1320,36,27,0,0,0,3,1.77,1
linkedin,55680,1232,4960,407,138,1,0,1,1.92,0
twitter,129,294,35,36,0,0,0,0,1.83,1
linkedin,395,2465,12,40,17,0,0,4,1.87,1
instagram,132,3135,36,8,41,0,0,0,0.25,1
facebook,406,1992,45,37,0,0,0,4,0.73,1
linkedin,148,3702,8,53,0,1,0,2,0.32,1
facebook,74,585,6,18,26,0,0,0,0.96,1
twitter,68026,1253,4855,1704,117,1,0,0,2.59,0
tiktok,454,3632,48,20,0,1,0,2,1.23,1
facebook,2982,1964,1001,902,91,1,0,0,4.98,0
instagram,64577,1444,3107,373,147,1,0,1,1.97,0
twitter,12842,1944,4945,957,103,1,0,2,9.8,0
facebook,7,1032,2,24,22,0,0,0,1.62,1
linkedin,91,3254,7,34,0,1,0,4,1.68,1
facebook,181,1022,47,18,6,1,0,4,0.33,1
linkedin,187,4377,1,1,46,0,0,4,0.79,1
instagram,292,1479,29,9,33,0,0,5,1.58,1
tiktok,119,2306,45,23,31,0,0,0,1.13,1
facebook,24252,1831,1351,1438,139,1,0,0,3.09,0
tiktok,127,4124,41,36,0,0,0,2,1.68,1
instagram,61896,76,695,910,69,1,0,0,5.95,0
facebook,90063,751,2731,1761,93,1,1,0,1.36,0
tiktok,57992,1852,2108,1715,65,1,0,1,5.02,0
twitter,59629,1621,800,1351,112,1,0,0,6.17,0
facebook,449,1724,8,9,39,0,0,2,0.93,1
instagram,228,4403,43,51,0,0,0,1,1.63,1
instagram,49981,1642,3944,1700,76,1,1,1,6.57,0
twitter,373,909,7,25,17,0,0,5,1.89,1
twitter,400,4190,25,21,21,0,0,2,0.66,1
facebook,7237,1296,2469,1114,128,1,0,0,6.16,0
linkedin,300,330,36,43,39,0,0,2,1.63,1
facebook,408,2969,32,16,44,0,0,0,1.75,1
linkedin,140,4010,38,46,28,0,0,1,1.29,1
twitter,265,1120,38,20,4,0,0,1,0.66,1
facebook,41100,481,754,1128,139,0,0,0,1.68,0
instagram,60,4268,42,6,38,1,0,1,1.27,1
tiktok,259,1084,44,46,0,0,0,0,1.92,1
twitter,73250,776,2786,1724,128,1,0,0,5.39,0
tiktok,215,202,31,35,37,1,0,0,1.8,1
instagram,84060,1001,2732,1167,58,1,1,2,8.19,0
tiktok,442,1183,14,38,7,0,0,2,1.93,1
twitter,460,4888,49,40,44,0,0,4,0.76,1
tiktok,460,1512,5,24,18,0,0,0,0.4,1
facebook,344,1916,41,36,26,0,0,4,1.76,1
linkedin,425,2919,42,53,29,0,0,2,1.54,1
tiktok,87763,1598,3167,1870,142,1,0,0,0.59,0
tiktok,325,2714,29,7,9,1,0,1,0.44,1
instagram,14007,965,1937,663,143,1,0,1,7.23,0
linkedin,77419,259,2403,1473,93,1,0,1,6.15,0
instagram,44564,1719,4049,1126,104,1,0,0,9.97,0
facebook,98268,88,3392,1066,58,1,0,0,6.96,0
instagram,44913,797,3561,1807,122,1,0,1,4.28,0
twitter,6126,1330,4715,1113,44,1,0,2,7.29,0
linkedin,207,3810,7,46,24,1,0,3,1.71,1
instagram,62288,1009,742,1739,89,1,0,0,0.51,0
facebook,339,1963,8,38,47,0,0,2,0.61,1
tiktok,208,4367,20,18,0,0,0,2,0.65,1
linkedin,101,3696,7,11,21,0,0,0,1.18,1
linkedin,201,1135,31,50,32,0,0,1,0.16,1
tiktok,52826,243,139,1889,143,1,0,1,9.54,0
linkedin,389,2256,5,9,38,0,0,5,1.9,1
instagram,317,4406,6,11,19,0,0,3,1.01,1
tiktok,37377,1020,2184,1727,42,1,0,0,4.97,0
instagram,2856,744,2385,486,73,1,0,0,9.97,0
tiktok,60815,1787,804,214,90,1,0,0,4.89,0
facebook,444,2271,19,37,3,1,0,2,1.13,1
twitter,419,1473,33,36,1,1,0,2,1.99,1
twitter,267,3914,44,18,39,0,0,3,0.87,1
instagram,88897,51,424,472,98,1,0,0,4.35,0
linkedin,230,3416,24,57,0,1,0,1,1.57,1
tiktok,302,3666,9,3,0,0,0,2,0.38,1
tiktok,80030,1021,2410,755,147,1,0,1,6.81,0
instagram,119,1779,27,47,14,0,0,0,1.97,1
linkedin,19,481,28,1,34,1,0,1,1.06,1
linkedin,35557,1289,175,396,79,1,0,0,5.46,0
tiktok,150,4603,15,50,41,0,0,0,1.49,1
twitter,37880,1568,4231,1378,63,1,1,0,0.67,0
tiktok,135,502,39,49,0,1,0,5,1.24,1
tiktok,360,3873,27,2,49,0,0,4,1.99,1
twitter,76,3430,40,11,3,1,0,5,0.93,1
linkedin,488,1050,44,11,0,0,0,0,0.72,1
facebook,142,1116,18,29,24,0,0,1,0.13,1
tiktok,109,3089,1,46,0,1,0,2,1.01,1
twitter,152,211,4,34,47,0,0,2,1.55,1
facebook,426,1204,20,23,0,1,0,4,0.56,1
facebook,45879,838,190,649,48,1,0,0,3.21,0
linkedin,155,305,35,30,0,1,0,4,1.09,1
instagram,73088,208,3704,1138,85,1,0,2,4.53,0
twitter,43168,1435,2988,320,148,1,0,1,8.04,0
linkedin,75888,731,2681,331,109,1,0,0,7.45,0
linkedin,36541,906,195,1094,65,1,0,0,2.73,0
tiktok,118,861,47,37,0,0,0,2,0.59,1
facebook,253,969,34,7,20,0,0,1,1.48,1
tiktok,187,2549,18,4,0,1,0,3,0.6,1
tiktok,386,272,7,33,0,0,0,2,0.23,1
twitter,4755,198,2873,1433,101,1,0,0,3.66,0
tiktok,257,2861,16,35,33,0,0,2,0.27,1
linkedin,11026,1376,1066,490,109,1,0,2,0.51,0
linkedin,2,1879,29,45,0,0,0,5,1.86,1
linkedin,82705,198,4087,585,111,1,0,1,5.31,0
facebook,141,4776,22,50,0,0,0,5,1.15,1
twitter,189,1889,3,18,5,0,0,5,1.72,1
linkedin,48,4337,37,18,0,1,0,4,1.63,1
instagram,398,4425,34,18,13,1,0,4,0.35,1
tiktok,269,1333,15,54,0,0,0,1,0.38,1
tiktok,17847,586,4273,1811,121,1,0,0,1.5,0
facebook,61045,1133,2760,646,60,1,0,0,1.05,0
linkedin,414,656,22,19,0,0,0,1,0.29,1
twitter,259,1838,39,17,36,0,0,2,1.1,1
tiktok,32871,1776,817,662,36,1,0,0,4.18,0
tiktok,70517,1647,2343,921,108,1,0,0,6.38,0
linkedin,90853,542,2435,352,61,1,0,1,4.82,0
linkedin,29800,1867,2607,1911,63,1,0,0,4.07,0
instagram,41,2644,48,41,16,1,0,4,0.25,1
instagram,313,4295,39,21,27,1,0,4,1.31,1
facebook,25931,1246,2198,1211,106,0,0,1,8.12,0
facebook,84088,197,4377,545,129,1,0,1,2.26,0
instagram,76795,1393,1623,1826,125,1,0,1,2.66,0
twitter,91574,1634,1877,1585,97,1,0,1,0.9,0
facebook,86167,701,819,553,42,1,0,2,6.74,0
linkedin,58779,1475,2280,1868,133,1,0,1,9.46,0
linkedin,93971,1508,735,292,149,1,0,0,8.85,0
facebook,17,2396,12,21,7,0,0,0,0.2,1
linkedin,23887,1870,3587,949,58,1,0,3,5.14,0
instagram,170,2668,32,56,0,0,0,2,1.76,1
twitter,110,561,15,8,0,1,0,0,0.47,1
linkedin,472,3281,20,46,38,1,0,1,1.12,1
facebook,19533,363,2663,1215,110,0,0,1,6.94,0
twitter,69,4095,18,37,0,1,0,3,0.51,1
linkedin,79145,920,2502,381,67,1,0,0,4.32,0
instagram,2,4631,3,56,23,1,0,0,1.67,1
tiktok,210,4701,23,45,11,1,0,3,1.08,1
instagram,29354,162,1256,660,47,1,0,2,7.78,0
linkedin,300,4456,16,6,3,0,0,2,1.98,1
tiktok,14972,651,3521,1016,145,1,0,0,0.73,0
instagram,364,2810,18,42,34,1,0,4,0.45,1
instagram,25779,310,2453,1785,119,1,0,0,4.65,0
twitter,13993,735,4333,1772,60,1,0,0,3.19,0
tiktok,75471,952,212,1423,43,1,0,1,4.77,0
facebook,42300,1886,1769,1822,113,1,0,0,3.49,0
linkedin,97394,1472,721,1963,104,1,0,2,1.0,0
instagram,141,4460,20,18,4,0,0,2,0.98,1
tiktok,395,624,32,50,3,0,0,2,1.14,1
instagram,72207,1003,2140,1884,68,1,0,0,4.85,0
linkedin,83957,71,3187,1021,127,1,0,1,3.26,0
linkedin,17494,1777,2340,740,93,1,0,1,7.71,0
linkedin,375,2991,20,15,0,0,0,5,1.16,1
linkedin,446,2313,24,56,2,0,0,1,0.3,1
tiktok,52078,1251,4452,958,149,1,0,0,7.7,0
facebook,54,4854,14,48,45,0,0,2,1.61,1
linkedin,782,1699,1948,219,131,1,0,0,8.99,0
instagram,100,2507,29,6,0,1,0,4,1.06,1
facebook,43370,1062,3654,849,42,1,1,3,6.73,0
tiktok,130,2600,3,25,19,0,0,3,0.46,1
twitter,96165,695,3040,1567,137,1,0,2,8.86,0
facebook,86251,1291,239,1620,114,1,1,1,2.32,0
tiktok,175,1095,21,17,4,1,0,0,0.16,1
facebook,65,4778,39,56,27,0,0,2,1.98,1
linkedin,408,4828,34,57,45,1,0,0,1.63,1
linkedin,209,1338,32,6,26,0,0,1,0.97,1
instagram,15537,1620,3967,1710,113,0,0,0,9.68,0
linkedin,15782,948,1499,1478,102,1,1,1,5.81,0
instagram,274,3190,13,56,0,0,0,0,0.19,1
twitter,47233,1276,4966,1942,134,1,0,0,9.08,0
tiktok,109,4208,15,29,0,0,0,0,1.6,1
instagram,324,1499,36,3,0,0,0,5,1.37,1
twitter,60371,1138,392,1634,69,1,0,1,6.22,0
linkedin,82825,281,1623,1991,58,1,0,0,2.72,0
instagram,11593,1565,243,1365,120,1,0,1,1.17,0
instagram,7216,829,4407,909,56,1,0,3,3.65,0
facebook,141,1655,44,20,48,0,0,0,0.52,1
tiktok,352,4897,38,21,0,0,0,0,0.63,1
facebook,34123,1862,2916,1774,68,1,0,1,0.93,0
tiktok,53281,1630,4146,1371,137,1,0,1,2.95,0
instagram,64589,152,1037,1453,98,0,0,0,2.95,0
linkedin,337,4233,3,30,32,0,0,0,0.9,1
tiktok,331,3649,14,41,38,1,0,2,1.79,1
facebook,78533,612,3239,892,68,1,0,0,9.07,0
instagram,295,4208,11,35,42,0,0,0,0.33,1
twitter,73482,1481,1869,456,83,1,0,0,5.65,0
twitter,363,2089,31,3,2,1,0,1,0.71,1
instagram,67177,1685,4050,858,63,1,0,0,8.96,0
tiktok,274,3473,17,28,0,0,0,1,0.69,1
facebook,175,3899,11,38,0,0,0,5,0.53,1
tiktok,44,1378,45,54,0,0,0,0,1.54,1
facebook,2669,174,173,1238,116,1,1,1,1.34,0
tiktok,499,2136,44,32,47,1,0,1,1.11,1
linkedin,378,2590,2,42,0,0,0,0,0.75,1
facebook,638,408,4981,1702,30,1,0,0,6.45,0
tiktok,39920,322,3220,1967,111,1,0,1,2.41,0
tiktok,80888,706,2710,343,147,1,1,2,7.36,0
linkedin,76521,1734,3879,574,132,1,0,0,8.83,0
facebook,370,2394,25,48,43,1,0,2,0.81,1
twitter,79563,456,4544,894,93,1,0,2,9.82,0
instagram,22690,1824,2869,1082,138,1,1,0,0.53,0
tiktok,351,2690,4,13,46,1,0,0,1.01,1
instagram,37174,1639,3003,499,50,1,0,0,2.5,0
instagram,162,4314,49,8,25,0,0,0,1.5,1
instagram,398,4436,39,8,4,1,0,4,1.43,1
twitter,461,613,30,38,0,0,0,4,1.9,1
linkedin,84550,1196,407,1731,95,1,0,1,7.22,0
facebook,46592,233,2208,687,63,1,0,2,4.35,0
instagram,24282,1638,3928,500,46,1,1,1,3.9,0
twitter,30,2584,22,32,9,1,0,0,1.4,1
linkedin,499,252,23,15,21,0,0,5,1.47,1
instagram,12737,1363,4995,1963,127,1,0,0,1.48,0
linkedin,153,2009,31,22,37,0,0,1,0.75,1
twitter,156,867,10,57,0,0,0,4,1.19,1
tiktok,140,1306,48,6,47,1,0,0,0.18,1
linkedin,92622,1802,4168,1928,50,1,0,0,1.73,0
linkedin,93,4828,19,19,18,0,0,1,1.92,1
tiktok,354,3574,47,18,13,0,0,4,0.45,1
tiktok,30,4944,8,38,10,1,0,3,1.53,1
facebook,18635,825,989,1352,57,1,0,2,3.23,0
twitter,48,4413,9,53,0,1,0,0,1.83,1
instagram,40279,447,724,566,140,1,1,0,7.39,0
tiktok,187,2477,0,20,0,0,0,0,1.73,1
twitter,51874,1807,2842,1877,66,1,0,0,7.84,0
facebook,61740,1711,769,734,146,1,1,2,0.72,0
twitter,470,3775,7,45,0,1,0,3,1.88,1
facebook,34370,1197,1291,695,119,1,0,1,6.68,0
tiktok,27,477,40,17,0,0,0,2,1.58,1
instagram,56251,1433,3533,670,94,1,1,0,4.96,0
facebook,281,1976,49,5,19,0,0,0,1.92,1
tiktok,223,3844,20,46,4,1,0,3,1.14,1
twitter,96758,1039,1166,699,73,1,0,0,9.95,0
instagram,155,3763,5,41,15,0,0,1,1.91,1
twitter,41816,1674,919,1065,111,1,0,1,9.13,0
instagram,298,444,15,2,33,0,0,1,1.46,1
tiktok,31812,236,3717,1803,143,1,0,0,0.59,0
tiktok,81551,1328,2268,1931,71,1,0,1,1.41,0
instagram,86367,1726,1246,189,129,1,0,2,9.94,0
twitter,240,4106,19,20,29,1,0,2,0.78,1
twitter,348,2203,26,18,3,1,0,4,1.95,1
tiktok,40,4400,4,58,0,1,0,0,1.91,1
twitter,311,860,34,12,25,0,0,1,1.82,1
facebook,404,4757,3,23,41,0,0,0,0.59,1
facebook,45,3171,45,57,0,1,0,2,0.88,1
tiktok,188,3807,23,42,0,1,0,2,0.64,1
tiktok,37544,1903,4826,1004,89,1,0,3,2.65,0
twitter,38902,433,391,1023,67,1,0,0,7.71,0
tiktok,36017,918,1185,1614,80,1,0,2,8.16,0
twitter,455,471,30,42,0,0,0,2,0.61,1
instagram,68868,1909,202,1838,50,1,0,1,2.13,0
instagram,87,4399,14,32,38,1,0,2,1.49,1
instagram,13550,730,2574,252,42,1,0,0,1.63,0
instagram,174,2356,0,17,2,0,0,1,1.82,1
tiktok,35175,1492,2585,257,87,1,0,0,5.81,0
facebook,376,1192,48,40,18,0,0,1,0.33,1
tiktok,79,1681,24,20,0,0,0,4,1.38,1
tiktok,12389,1857,3112,774,80,0,0,0,5.71,0
instagram,98062,189,1474,1081,126,1,0,1,2.85,0
facebook,82438,775,1523,738,68,1,0,1,6.51,0
tiktok,476,2961,40,57,0,0,0,0,1.94,1
twitter,168,2188,17,26,19,0,0,1,0.6,1
linkedin,290,407,1,24,9,0,0,2,0.43,1
facebook,65119,452,4741,1686,140,1,0,1,4.05,0
instagram,480,4855,5,41,0,0,0,0,0.32,1
tiktok,15938,1388,4807,1126,77,0,0,1,4.05,0
twitter,60772,350,1141,1210,78,1,1,0,7.39,0
instagram,261,375,37,17,0,0,0,0,1.52,1
instagram,61186,693,3726,558,102,1,1,0,5.7,0
instagram,10951,1566,3801,218,142,1,0,2,0.78,0
twitter,5539,851,2300,240,79,1,0,1,1.27,0
facebook,126,4570,35,59,12,0,0,2,0.58,1
instagram,178,693,41,17,0,1,0,1,1.74,1
facebook,136,2073,20,2,42,1,0,1,1.12,1
linkedin,91,262,21,11,0,0,0,0,1.03,1
tiktok,7796,872,3124,1153,67,1,0,0,2.02,0
linkedin,347,2268,49,7,2,1,0,0,0.65,1
tiktok,282,2559,41,23,0,0,0,4,1.6,1
facebook,67236,1435,4459,986,109,1,0,0,5.76,0
tiktok,93289,310,136,644,105,1,0,0,6.3,0
tiktok,94282,702,3679,1575,140,1,0,1,8.7,0
linkedin,17,4957,32,30,16,1,0,4,0.33,1
linkedin,161,1936,41,28,0,0,0,1,0.54,1
twitter,362,336,46,33,32,1,0,3,0.43,1
twitter,56553,1970,3027,272,77,1,0,0,9.36,0
instagram,268,1548,25,49,0,0,0,1,0.13,1
linkedin,250,1988,2,15,28,1,0,0,0.12,1
tiktok,311,4104,28,57,21,0,0,1,1.6,1
linkedin,95136,1856,4284,1896,75,1,0,2,2.43,0
linkedin,39259,341,3456,911,145,1,0,0,8.14,0
linkedin,122,1969,28,3,0,1,0,2,1.44,1
instagram,88423,892,3243,1682,136,1,0,2,8.5,0
tiktok,89711,1555,3625,898,77,1,0,1,7.93,0
instagram,59347,1387,3621,1924,128,1,0,1,2.11,0
tiktok,35193,974,3563,580,45,1,0,1,8.95,0
facebook,61,3091,41,13,0,0,0,1,0.56,1
twitter,221,849,43,11,14,0,0,0,0.94,1
linkedin,368,583,37,57,46,1,0,0,1.1,1
linkedin,65633,1854,972,1047,36,1,0,2,7.89,0
facebook,339,403,32,28,0,0,0,0,1.77,1
tiktok,315,3391,45,50,0,1,0,4,0.72,1
tiktok,29401,1987,2428,1385,67,1,1,0,7.61,0
facebook,364,4646,14,16,0,0,0,1,1.59,1
facebook,95215,1377,2900,777,67,0,1,1,3.44,0
twitter,46787,758,3246,317,112,1,1,1,4.7,0
tiktok,57484,1349,2308,1034,53,1,0,1,6.51,0
twitter,267,2417,19,38,24,1,0,4,0.79,1
linkedin,91551,1718,3464,1628,88,1,0,0,1.98,0
instagram,17499,455,1799,1957,76,1,1,0,7.01,0
tiktok,42,406,11,40,19,0,0,1,0.86,1
tiktok,432,2989,1,36,25,0,0,2,1.44,1
facebook,5521,1794,4785,519,145,1,0,1,5.26,0
instagram,431,2402,22,24,8,0,0,4,1.28,1
twitter,27730,934,3855,545,49,1,0,0,6.86,0
twitter,402,4789,10,34,49,0,0,1,0.2,1
tiktok,46338,534,3205,1841,69,1,0,0,2.47,0
linkedin,42543,699,4184,1743,78,1,0,3,2.12,0
tiktok,12953,432,1929,1579,116,1,0,1,6.36,0
twitter,34557,1497,3249,417,53,1,0,0,1.28,0
twitter,105,425,8,22,0,0,0,5,1.36,1
instagram,59370,728,2946,1235,38,1,0,1,4.97,0
tiktok,18118,493,276,227,47,1,0,0,5.38,0
instagram,496,1452,5,19,12,0,0,2,0.54,1
tiktok,186,3462,37,56,0,1,0,1,0.87,1
tiktok,246,271,5,14,31,0,0,0,1.16,1
tiktok,189,507,24,41,0,1,0,0,0.6,1
twitter,425,475,12,17,35,0,0,0,1.02,1
tiktok,278,3957,7,8,25,0,0,0,1.57,1
twitter,93685,807,771,1714,46,1,1,0,7.23,0
tiktok,31176,655,1697,1770,110,1,0,2,5.34,0
linkedin,54164,1898,2746,1897,140,1,0,0,2.76,0
facebook,461,3151,7,27,0,1,0,1,1.53,1
tiktok,480,2663,28,21,20,1,0,1,0.7,1
linkedin,309,1456,48,35,0,0,0,0,0.18,1
instagram,5,3418,37,28,1,0,0,2,0.77,1
linkedin,51757,1342,357,1773,61,1,0,0,8.05,0
twitter,90459,1769,4941,1076,71,1,0,2,2.26,0
twitter,491,1122,8,47,15,0,0,1,0.95,1
facebook,93579,559,3099,1276,55,1,0,0,3.3,0
linkedin,463,470,34,12,40,0,0,1,1.78,1
instagram,131,4382,47,55,0,0,0,0,0.75,1
instagram,115,3997,20,33,37,1,0,0,1.49,1
linkedin,25964,939,2167,804,136,1,0,1,9.35,0
tiktok,359,1886,2,40,49,1,0,0,0.58,1
linkedin,34984,360,4588,1440,131,1,0,1,7.52,0
linkedin,266,2211,43,12,0,0,0,0,1.88,1
instagram,456,814,30,58,0,0,0,0,0.15,1
facebook,87067,1686,2208,564,94,1,0,2,7.58,0
tiktok,47611,751,3808,1988,46,1,0,2,3.9,0
tiktok,365,1462,7,15,26,0,0,0,0.13,1
twitter,304,606,24,34,25,0,0,0,1.34,1
linkedin,272,4821,13,13,6,0,0,2,1.88,1
instagram,418,2138,19,36,34,1,0,4,1.26,1
linkedin,49,2602,31,36,12,0,0,0,0.51,1
facebook,207,4724,25,28,31,0,0,0,1.05,1
facebook,4058,1630,1011,1979,100,1,1,1,6.48,0
twitter,28377,707,2830,602,89,1,0,1,0.58,0
tiktok,40031,1077,3214,1098,35,1,0,0,5.38,0
facebook,5,2871,2,42,10,1,0,1,0.54,1
twitter,50377,1577,2551,1494,51,1,0,1,4.82,0
tiktok,57135,125,648,1473,126,1,0,0,1.12,0
twitter,36199,1329,4175,460,57,1,0,0,8.07,0
facebook,30509,655,4520,818,70,1,0,0,1.23,0
twitter,72584,1287,4830,1082,148,1,0,0,0.84,0
twitter,91395,290,1603,662,146,1,1,1,3.48,0
tiktok,332,2530,14,8,0,0,0,0,0.28,1
tiktok,16,4548,16,56,35,1,0,0,0.96,1
facebook,100,1125,22,16,13,0,0,1,0.94,1
linkedin,81826,1509,4606,797,50,1,0,0,1.92,0
linkedin,70355,833,999,1233,74,1,0,0,9.77,0
linkedin,435,1131,8,39,18,1,0,3,0.37,1
twitter,28664,965,1928,817,104,1,0,0,1.27,0
facebook,47186,184,4725,1350,135,1,0,1,8.73,0
tiktok,287,4482,9,2,0,0,0,4,0.48,1
facebook,32331,178,936,520,33,1,0,0,4.97,0
facebook,320,4854,27,53,41,1,0,2,0.22,1
linkedin,170,211,2,42,26,1,0,2,1.19,1
tiktok,63059,1454,4923,623,71,1,0,1,2.58,0
linkedin,236,384,19,50,0,1,0,0,1.23,1
facebook,21567,1931,4346,701,125,1,0,0,7.89,0
tiktok,407,1609,30,57,0,1,0,2,0.42,1
tiktok,11585,1942,1801,853,87,1,0,1,3.29,0
facebook,216,1319,32,45,35,0,0,0,1.54,1
tiktok,148,3375,13,39,0,1,0,5,1.69,1
facebook,81922,1629,3522,860,83,1,0,0,4.32,0
linkedin,1364,1318,834,655,112,1,0,2,9.0,0
instagram,200,525,24,31,21,1,0,0,0.84,1
facebook,62547,1660,4128,745,117,1,0,0,8.97,0
linkedin,57,328,16,2,28,0,0,2,0.79,1
facebook,6094,1437,1694,455,102,1,0,3,1.38,0
twitter,53164,1159,1549,231,140,1,0,0,1.69,0
linkedin,114,1249,22,43,12,0,0,0,0.3,1
linkedin,56234,1852,2763,1245,56,1,0,0,4.29,0
instagram,90525,1293,4473,1646,81,1,0,1,4.93,0
linkedin,357,3834,36,46,23,1,0,4,0.68,1
twitter,74,565,10,28,0,0,0,2,1.94,1
tiktok,28,3029,13,35,29,0,0,0,1.89,1
instagram,14827,1290,996,537,135,1,0,0,4.27,0
facebook,277,2072,17,49,0,0,0,2,0.31,1
twitter,6367,998,1261,1109,33,1,0,0,5.75,0
twitter,290,4036,23,19,35,0,0,2,1.83,1
instagram,67472,577,3476,738,88,1,0,1,3.53,0
tiktok,157,1501,10,2,43,0,0,1,0.47,1
twitter,50093,1931,2696,1293,138,1,0,2,4.96,0
tiktok,356,2280,9,37,11,0,0,5,0.26,1
twitter,34993,1190,320,949,81,0,0,0,2.3,0
twitter,91821,413,4725,1070,111,1,0,0,2.57,0
twitter,184,3356,15,31,0,0,0,0,1.01,1
tiktok,72595,1526,2824,376,71,1,0,1,4.05,0
facebook,71542,1412,4923,527,58,1,0,0,5.36,0
facebook,7,4286,19,47,0,0,0,2,1.09,1
instagram,315,1216,6,15,0,0,0,2,1.33,1
instagram,50883,1695,3049,1572,118,1,1,1,7.69,0
instagram,15006,183,1500,1228,47,1,0,0,6.89,0
facebook,1579,1228,4256,316,133,1,0,0,9.89,0
