platform,followers,following,posts,account_age_days,bio_length,profile_pic,verified,external_links,activity_rate,is_fake
other,77261,4840,4552,1538,58,1,0,6,1.36,0
facebook,79810,2302,4547,1756,43,0,0,8,3.03,1
instagram,38311,9965,974,1071,37,0,0,0,4.82,1
x,32309,2218,9533,3668,9,1,0,2,3.44,0
linkedin,45170,7717,661,1338,68,0,0,1,0.21,0
facebook,43563,8823,1482,1265,75,0,0,9,2.13,1
facebook,50281,2407,3527,574,209,1,0,6,2.88,0
telegram,53900,0,4162,1698,123,1,0,5,2.41,0
tiktok,5008,1026,158,2136,106,1,0,7,3.9,1
tiktok,71318,6324,2568,3828,178,1,0,2,0.13,0
facebook,2994,3800,3656,1609,206,0,0,5,0.72,0
x,97375,2823,2279,406,101,1,0,5,5.9,1
other,1225,7179,3411,3973,235,0,0,0,0.72,0
linkedin,9220,8255,407,52,113,0,0,9,0.72,1
facebook,22222,4215,164,2624,114,1,0,9,5.86,1
telegram,93295,0,1287,1270,200,0,0,1,2.92,0
facebook,74968,5635,1513,340,252,0,0,1,3.39,0
telegram,19755,0,4452,3954,274,1,1,5,0.64,0
telegram,11025,0,1693,609,232,1,0,8,4.46,1
instagram,35950,4779,1610,2284,233,0,0,1,4.12,0
instagram,54401,1292,2390,2784,195,0,0,4,4.01,0
telegram,40663,0,2036,3843,167,1,0,0,4.93,1
x,91685,6488,6366,1752,125,1,0,9,5.84,1
other,34474,8300,2207,3638,154,0,0,1,2.62,0
telegram,14333,0,2453,3318,169,1,0,4,3.74,0
facebook,85474,378,1770,2771,114,1,0,5,4.9,1
x,63355,8848,1357,1273,115,0,0,2,3.85,0
facebook,51444,7050,4638,325,0,0,0,7,4.56,1
other,98104,4547,1105,2391,81,1,0,6,4.8,1
tiktok,73509,7913,2746,708,199,1,0,2,1.9,0
other,20641,1809,993,1358,229,1,0,7,3.09,1
other,17127,3024,4761,1800,80,0,0,6,1.61,0
tiktok,46105,7973,1282,2898,95,1,0,8,3.91,1
other,49777,5432,4827,449,13,0,0,6,5.35,1
instagram,17077,2838,593,3928,287,0,0,2,4.29,0
instagram,31533,3340,2964,1969,253,0,0,9,2.37,1
instagram,10892,8994,4252,631,129,1,0,0,1.52,0
instagram,50721,6242,4676,3949,59,0,0,3,4.16,0
linkedin,31767,3352,879,820,25,0,0,2,0.28,0
other,25557,4489,3006,3122,56,0,0,3,4.79,1
tiktok,73062,3816,1703,1307,123,0,0,5,1.11,0
x,74893,8236,4474,376,205,1,0,1,1.76,0
telegram,39293,0,4644,3847,104,0,0,9,4.99,1
instagram,78218,3465,3863,2341,109,0,1,2,3.26,0
linkedin,30082,8643,949,887,240,0,0,8,0.32,1
facebook,96557,3307,1692,1759,43,1,0,2,1.85,0
x,72123,8276,2554,140,221,1,0,0,5.5,1
tiktok,10481,8906,140,388,115,1,0,3,5.72,1
facebook,13731,8599,2183,69,95,1,0,1,5.57,1
instagram,64315,6655,4383,361,247,1,0,8,2.42,1
telegram,82020,0,2074,1416,143,1,0,5,2.9,0
telegram,50617,0,3323,3039,117,1,0,9,0.45,1
telegram,26708,0,432,2303,267,0,0,2,1.82,0
telegram,71074,0,151,1269,130,0,0,0,1.12,0
tiktok,3055,8646,2333,1852,30,0,0,9,3.43,1
x,96204,3573,4505,552,130,0,0,2,4.49,0
x,36923,8460,2425,2913,251,1,0,9,2.34,1
other,38259,6301,2522,473,264,0,0,9,4.72,1
x,12363,5340,2023,1382,228,1,0,7,3.33,1
instagram,72561,4578,1886,2000,236,0,0,9,5.11,1
x,91801,3996,8472,238,254,1,0,3,5.03,1
telegram,7526,0,4314,2863,50,1,0,8,3.95,1
facebook,76669,2808,2157,1852,9,1,0,2,0.72,0
x,88495,4944,5039,2151,177,1,0,2,5,1
instagram,56782,4680,105,3113,28,0,0,4,0.34,0
telegram,44458,0,3910,1702,10,1,0,0,1.1,0
other,4090,9895,4212,2917,237,0,0,5,4.05,0
other,43013,4898,4852,1077,279,1,0,5,2.75,0
linkedin,37727,7636,617,2230,131,0,0,5,3.9,0
linkedin,48182,2520,922,529,255,1,0,7,3.69,1
x,58715,149,7305,2642,272,1,0,8,2.63,1
x,1212,6856,3428,2843,149,0,0,0,5.03,1
tiktok,57772,9989,743,3124,148,0,0,0,1,0
facebook,12207,106,181,3668,10,0,0,4,5.53,1
other,87844,5256,4197,3395,218,0,0,5,5.82,1
other,59353,7326,751,2052,206,0,0,1,4.92,1
instagram,3970,7988,3833,3022,253,1,0,8,0.31,1
tiktok,10846,6030,2592,2354,182,1,0,1,2.87,0
tiktok,66558,6063,871,2605,88,0,0,4,5.43,1
instagram,1740,8191,4737,437,43,1,0,7,4.2,1
instagram,5622,1987,935,2976,36,1,0,0,1.87,0
x,93464,9432,3349,376,271,0,0,9,5.95,1
linkedin,10713,5024,447,2126,61,1,0,6,5.06,1
facebook,15704,8829,4568,660,74,0,0,7,1.36,1
linkedin,7086,9638,268,3305,13,1,0,3,5.87,1
facebook,99599,7906,3972,2055,120,1,0,6,2.84,0
facebook,78424,6974,484,1579,129,0,1,6,4.19,0
facebook,98231,5982,728,641,43,1,0,1,2.11,0
instagram,91354,9888,834,792,257,0,0,7,0.85,1
telegram,6805,0,691,3601,110,1,0,0,4.57,1
tiktok,92416,8287,2530,709,117,1,0,7,5.18,1
instagram,1950,9940,1860,3753,143,0,0,8,3.21,1
x,42607,3,5467,1024,100,0,0,4,5.61,1
linkedin,18863,6897,708,1256,189,0,0,3,5.4,1
tiktok,21159,4001,1972,3509,245,0,0,9,0.13,1
instagram,45104,2367,4832,221,185,1,0,1,2.64,0
facebook,48322,2303,4115,2468,210,0,0,1,4.49,0
telegram,89233,0,4426,2500,51,1,0,1,5.24,1
facebook,31159,8200,472,2779,151,1,0,0,5.24,1
x,84954,9654,1396,1714,190,1,0,8,5.75,1
tiktok,84085,1150,609,2888,106,1,0,7,4.34,1
telegram,26470,0,4866,831,155,1,0,4,2.57,0
telegram,68354,0,1138,2065,120,0,0,6,4.39,0
linkedin,12714,6690,615,3229,1,1,0,1,1.42,0
other,62112,1437,2709,3157,282,1,0,2,1.9,0
facebook,30276,9156,357,28,113,0,0,9,5.46,1
linkedin,29139,673,421,34,14,1,0,2,0.8,0
telegram,42800,0,4781,3541,51,1,0,7,3.35,1
facebook,95711,6501,4138,30,252,0,0,4,5.67,1
telegram,24918,0,777,938,145,0,0,6,3.47,0
tiktok,85603,4102,1209,3688,133,0,0,8,4.96,1
telegram,69669,0,2619,3951,144,1,0,2,4.12,0
facebook,16498,1058,4578,2487,173,0,0,5,1.36,0
instagram,77442,3651,1781,3353,103,0,0,9,5.9,1
other,58027,5361,298,3132,56,1,0,5,5.85,1
linkedin,32242,9412,980,3770,23,0,0,7,1.58,1
linkedin,43131,4388,979,2272,251,0,0,9,1.33,1
other,46062,1584,4977,1398,39,1,0,0,0.99,0
instagram,81741,7646,4306,1058,64,1,0,9,3.63,1
facebook,2431,3171,424,3566,200,1,0,4,5.6,1
x,66404,2768,6492,1775,270,1,0,0,5.07,1
tiktok,25378,8070,2465,2024,279,0,0,5,5.08,1
other,922,9844,2536,3344,186,0,0,4,1.09,0
tiktok,6021,3173,731,525,256,0,0,4,0.76,0
x,7248,8373,6135,3363,117,0,0,5,0.34,0
telegram,89787,0,2589,1243,243,0,0,0,0.92,0
x,10129,5076,4659,3794,180,1,0,1,4.45,0
telegram,10860,0,315,1538,44,0,0,0,3.63,0
linkedin,39026,5916,371,1915,221,0,0,1,4.58,1
instagram,6333,8747,1122,2479,57,1,0,3,4.69,1
telegram,14035,0,2375,1900,225,0,0,4,1.7,0
linkedin,25028,3848,715,171,80,1,0,8,4.07,1
telegram,41256,0,4551,1327,99,0,0,7,5.28,1
x,65382,1024,2432,1771,160,1,0,6,0.11,0
tiktok,4030,2327,2224,3641,64,0,1,4,2.65,0
linkedin,21267,8260,816,3128,281,0,0,7,2.8,1
instagram,84326,9262,4182,3151,151,0,0,2,4.3,0
linkedin,40117,6683,687,3857,167,1,0,6,1.24,0
linkedin,48742,5781,826,3754,277,1,0,1,0.61,0
other,19798,4139,517,42,198,0,0,9,3.55,1
tiktok,11564,7554,178,856,212,1,0,2,4.21,0
instagram,3196,1151,3973,129,21,0,0,0,5.52,1
facebook,77400,6036,4531,570,188,1,0,5,1.84,0
instagram,44859,8807,1019,828,247,0,0,8,4.15,1
facebook,86760,7765,902,3730,193,1,0,2,5.49,1
telegram,79478,0,4154,3510,245,0,0,1,5.74,1
facebook,54712,6833,227,1009,11,0,0,9,5.69,1
telegram,59635,0,4545,3217,292,0,0,8,3.35,1
facebook,2013,2256,1602,301,220,1,0,6,0.89,0
x,43665,787,9271,1224,274,0,0,7,2.43,1
x,9425,5757,8633,1042,244,0,0,5,5.12,1
tiktok,44813,7921,1017,2867,66,0,0,7,3.4,1
instagram,51500,7926,3562,804,16,0,0,3,4.37,0
x,90365,4010,78,2303,91,1,0,1,1.79,0
facebook,85283,5646,4029,709,190,0,0,9,3.73,1
other,3657,2259,4458,3088,73,1,0,8,2.32,1
tiktok,82735,892,1247,973,138,0,0,6,2.53,0
telegram,17430,0,680,3856,61,0,0,0,4.49,0
x,55186,448,9832,2993,183,1,0,9,5.61,1
telegram,99341,0,4562,849,195,1,0,1,5.82,1
telegram,53444,0,3092,1409,277,1,0,5,0.32,0
telegram,12881,0,1968,3100,146,1,0,3,1.19,0
tiktok,50255,7413,491,879,208,0,0,2,5.52,1
other,73029,4104,3600,2170,293,1,0,4,0.77,0
facebook,29520,2366,599,3118,119,0,0,5,5.5,1
linkedin,37037,3099,697,3814,236,1,0,8,3.45,1
facebook,99083,2193,2701,1962,139,0,0,0,2.77,0
tiktok,13266,8983,458,1959,7,1,0,7,2.73,1
x,62248,316,1245,73,113,1,0,5,3.41,0
facebook,11741,3097,1712,540,190,0,0,9,2.75,1
telegram,94409,0,2280,945,93,0,0,0,3.58,0
x,82948,338,7143,762,0,1,1,8,2.82,1
telegram,74469,0,798,2011,178,1,0,0,2.42,0
telegram,90099,0,3006,3095,73,1,0,0,1.37,0
linkedin,35852,665,985,2604,250,1,0,8,5.45,1
linkedin,13533,5378,304,3456,299,0,0,0,3.9,0
other,3902,9406,2266,97,266,1,0,7,0.46,1
linkedin,33543,2327,74,2015,141,0,0,6,0.45,0
other,37956,7983,3978,839,115,1,0,1,3.36,0
facebook,37696,7046,2945,2797,231,1,0,9,1.44,1
instagram,18105,6834,2414,921,82,0,0,3,3.13,0
other,66084,9939,1492,3701,216,0,0,2,5.78,1
telegram,34136,0,10,3740,46,1,0,5,3.85,0
instagram,82172,7104,4662,2967,115,0,0,3,3.88,0
other,29332,205,1665,3356,76,0,0,9,4.81,1
tiktok,14901,7490,269,3548,20,0,0,0,3.38,0
instagram,80032,3436,1517,2868,216,1,0,9,4.72,1
other,90381,6780,81,2586,167,0,0,9,0.91,1
facebook,40430,166,4815,1133,178,1,0,3,4.19,0
linkedin,17281,5728,472,3518,73,0,0,2,3.51,0
linkedin,37449,1007,116,3530,30,0,0,1,2.92,0
x,97151,4897,7495,1454,18,1,0,8,0.43,1
facebook,36007,8448,3025,3295,241,1,0,4,3.07,0
tiktok,4008,3821,1875,2615,123,0,0,3,3.66,0
facebook,83707,814,3893,499,41,0,0,1,2.4,0
tiktok,50481,7617,2802,3953,18,0,0,7,5.36,1
telegram,65700,0,1828,1848,127,1,0,0,3.81,0
telegram,89494,0,3435,536,120,0,0,8,1.33,1
linkedin,22646,8168,706,1288,49,0,0,6,1.44,0
instagram,93778,3296,1486,989,235,0,0,0,2.76,0
x,44440,2542,5998,820,257,0,0,6,2.52,0
other,48621,1037,3481,66,268,0,0,9,4.71,1
facebook,28893,8578,1063,2565,220,0,0,6,5.05,1
telegram,90332,0,4428,1425,10,0,0,9,3.37,1
tiktok,96771,7333,1319,2246,111,1,0,8,3.63,1
other,53533,2338,2895,2244,230,1,0,0,4.12,0
instagram,49086,3070,586,3052,236,0,0,7,4.11,1
linkedin,5319,6153,424,3891,291,0,0,1,5.96,1
instagram,36355,1514,2887,244,176,1,0,5,4.55,1
other,58706,7547,1760,1703,138,1,0,1,0.45,0
x,39238,7300,4204,2232,280,0,0,2,0.11,0
telegram,98848,0,2388,2106,90,0,0,5,2.88,0
facebook,22540,1040,3520,3152,193,1,0,8,1.12,1
x,17373,4024,1354,494,43,0,0,2,5.12,1
facebook,12938,9218,1585,3303,299,0,0,6,0.62,0
facebook,364,1821,797,1066,144,1,0,9,3.94,1
instagram,26325,5418,1364,337,232,0,0,1,5.52,1
linkedin,38510,877,246,2122,215,1,0,8,5.32,1
facebook,27503,2019,1889,3044,179,1,0,3,5.22,1
x,75899,4444,8691,1329,88,1,0,7,2.2,1
instagram,55773,4533,1141,580,131,1,0,7,2.13,1
telegram,82799,0,3331,3899,63,0,0,1,4.8,1
telegram,63722,0,2134,445,257,1,0,9,5.56,1
x,61009,6761,8444,3719,7,1,0,4,2.9,0
telegram,66330,0,1024,1708,255,1,0,6,5.99,1
facebook,48697,8998,4128,1438,292,0,0,0,1.77,0
x,31645,2747,1877,1484,216,1,0,8,3.52,1
instagram,32275,2113,323,2867,297,1,0,0,4.73,1
other,69002,7541,3122,3288,157,0,0,6,4.5,0
linkedin,47222,7050,397,1424,96,0,0,1,3.28,0
telegram,97557,0,1326,3464,260,1,0,5,3.8,0
other,86755,8621,3729,1964,218,0,0,0,0.98,0
instagram,27460,7110,1215,1847,198,0,0,7,5.84,1
telegram,1436,0,710,3515,210,0,0,2,3.88,0
other,60204,5537,104,3642,157,1,0,0,5.43,1
facebook,81653,4909,4264,1550,204,0,0,0,4.86,1
other,560,467,3730,3469,222,0,0,7,4.08,1
instagram,21966,7521,2277,903,112,0,0,6,1.86,0
instagram,61108,7115,2988,1640,276,1,0,4,3.03,0
linkedin,13421,6864,914,3324,249,0,0,4,4.79,1
facebook,13908,3708,1295,3083,263,1,0,0,3.03,0
other,89848,6091,1542,3906,124,1,0,2,3.12,0
other,6265,7542,1217,2033,122,0,0,8,5.05,1
tiktok,82970,962,2706,2921,7,0,0,2,3.6,1
x,67501,8127,6258,2801,26,0,0,9,2.45,1
facebook,67936,4587,1265,1413,283,0,0,9,1.71,1
other,88731,4462,2975,792,194,0,0,6,1,0
instagram,56381,7860,1564,1485,125,1,0,7,3.81,1
linkedin,41009,4344,368,3023,183,1,0,6,4.04,0
linkedin,48838,5847,43,2409,95,1,0,7,1.51,1
tiktok,60740,987,395,142,158,0,0,5,4.75,1
linkedin,37283,9200,541,1413,168,1,0,8,2.91,1
x,85237,908,5610,737,277,1,0,6,3.87,0
tiktok,26309,7733,2804,111,157,0,0,5,4.33,0
tiktok,97780,855,90,469,285,1,0,0,2.27,0
x,76256,1159,1617,3174,98,0,0,7,5.33,1
tiktok,30498,5006,714,2953,4,1,0,3,2.65,0
instagram,64442,8913,2233,3397,124,0,0,0,1.36,0
telegram,19689,0,2327,1535,189,1,0,8,5.79,1
telegram,50010,0,251,522,148,0,0,6,1.86,0
linkedin,41513,3576,258,709,97,1,0,6,2.22,0
facebook,2389,5729,347,2083,172,1,0,9,3.33,1
facebook,7407,683,4301,2152,153,1,0,6,0.42,0
facebook,67321,9260,58,1236,255,0,0,4,3.79,0
tiktok,34840,5404,2499,2935,4,0,0,9,4.45,1
tiktok,30008,1642,1163,1249,36,0,0,9,3.8,1
facebook,76868,4303,902,3133,15,0,0,0,5.21,1
linkedin,11002,7045,167,3862,150,1,0,8,2.47,1
linkedin,9141,846,633,2300,288,0,0,7,1.34,1
x,3086,4052,5952,920,179,1,0,5,2.48,0
tiktok,67042,6930,2511,2857,106,0,0,8,2.62,1
other,96190,3993,2288,3029,254,0,0,2,3.89,0
tiktok,2597,9463,2921,1409,7,1,0,7,1.64,1
x,16040,4891,1169,3239,18,0,0,5,5.47,1
other,44839,1116,3314,2429,258,1,0,2,4.12,0
linkedin,26085,663,852,2984,65,1,0,7,2.78,1
other,32959,6068,4064,588,127,1,0,3,1.53,0
x,1695,7562,7869,3170,186,0,0,4,4.7,1
facebook,25874,1382,67,658,231,1,0,5,5.55,1
instagram,80989,3421,541,2711,276,0,0,3,2.06,0
telegram,4261,0,2802,3821,225,1,0,4,5.31,1
telegram,27738,0,1069,1896,295,0,1,9,0.38,1
tiktok,30624,6333,496,1728,240,0,0,4,0.79,0
x,68122,1488,723,2839,197,0,0,1,2.41,0
other,56792,7808,1585,1070,19,1,0,9,0.74,1
instagram,23296,8088,2526,2991,101,0,0,6,1.23,0
tiktok,35198,5099,665,3625,167,0,0,1,5.4,1
facebook,73802,1451,4070,1406,75,0,0,1,1.44,0
facebook,7008,3244,2910,2054,173,1,0,5,4.44,0
tiktok,15634,797,494,365,237,1,0,7,2.59,1
telegram,25854,0,363,2024,210,0,0,6,5.17,1
telegram,26219,0,4278,131,60,1,0,1,3.48,0
other,72377,7700,576,2410,66,1,0,5,2.79,0
linkedin,19063,5030,936,1181,53,1,0,1,4.9,1
other,92103,9983,4609,1018,145,0,0,7,2.33,1
x,16087,6553,35,555,217,1,1,0,5.65,1
instagram,89043,9846,935,3050,249,1,0,6,4,0
x,50311,4601,2749,1027,267,0,0,6,5.04,1
other,46211,4059,4292,2723,115,1,0,0,2.7,0
instagram,78199,4999,2177,3415,134,0,0,0,2.5,0
x,55206,1828,7537,100,46,1,0,1,0.59,0
x,17207,8080,2145,2187,56,0,0,7,4.45,1
x,12703,5000,2957,1183,7,0,0,3,6,1
facebook,591,9147,1338,1300,127,0,0,8,0.91,1
telegram,51012,0,1609,333,55,1,0,9,4.95,1
other,13890,8839,357,1566,221,1,0,5,3.76,0
facebook,30535,7906,538,3230,160,1,0,5,4.85,1
x,83817,208,7585,140,178,1,0,1,5,1
x,36648,9999,5644,3756,56,0,0,8,3.32,1
